division,breed,sex,pts1,pts2,pts3,pts4,pts5
1,Spaniels (American Water),Dog,2,3,4,5,6
1,Spaniels (American Water),Bitch,2,3,4,5,6
1,Spaniels (Boykin),Dog,2,3,4,5,6
1,Spaniels (Boykin),Bitch,2,3,4,5,6
1,Spaniels (Clumber),Dog,2,3,4,5,6
1,Spaniels (Clumber),Bitch,2,3,4,5,6
1,Spaniels (Cocker) Black,Dog,2,3,4,5,6
1,Spaniels (Cocker) Black,Bitch,2,3,4,5,6
1,Spaniels (Cocker) ASCOB,Dog,2,3,4,5,6
1,Spaniels (Cocker) ASCOB,Bitch,2,4,6,7,8
1,Spaniels (Cocker) Parti,Dog,2,3,4,5,6
1,Spaniels (Cocker) Parti,Bitch,2,4,5,6,7
1,Spaniels (English Cocker),Dog,2,3,4,5,6
1,Spaniels (English Cocker),Bitch,2,4,6,7,10
1,Spaniels (English Springer),Dog,2,4,6,7,9
1,Spaniels (English Springer),Bitch,2,4,6,8,12
1,Spaniels (Field),Dog,2,3,4,5,6
1,Spaniels (Field),Bitch,2,3,4,5,6
1,Spaniels (Irish Water),Dog,2,3,4,5,6
1,Spaniels (Irish Water),Bitch,2,3,4,5,6
1,Spaniels (Sussex),Dog,2,3,4,5,6
1,Spaniels (Sussex),Bitch,2,3,4,5,6
1,Spaniels (Welsh Springer),Dog,2,3,4,5,6
1,Spaniels (Welsh Springer),Bitch,2,3,4,5,6
1,Spinoni Italiani,Dog,2,3,4,5,6
1,Spinoni Italiani,Bitch,2,3,4,5,6
1,Vizslas,Dog,2,5,7,8,10
1,Vizslas,Bitch,2,6,10,12,17
1,Weimaraners,Dog,2,3,4,5,6
1,Weimaraners,Bitch,2,3,4,5,6
1,Wirehaired Pointing Griffons,Dog,2,3,4,5,6
1,Wirehaired Pointing Griffons,Bitch,2,3,4,5,6
1,Wirehaired Vizslas,Dog,2,3,4,5,6
1,Wirehaired Vizslas,Bitch,2,3,4,5,6
1,Afghan Hounds,Dog,2,4,5,7,10
1,Afghan Hounds,Bitch,2,3,4,7,12
1,American English Coonhounds,Dog,2,3,4,5,6
1,American English Coonhounds,Bitch,2,3,4,5,6
1,American Foxhounds,Dog,2,3,4,5,6
1,American Foxhounds,Bitch,2,3,4,5,6
1,Azawakhs,Dog,2,3,4,5,6
1,Azawakhs,Bitch,2,3,4,5,6
1,Basenjis,Dog,2,3,4,5,6
1,Basenjis,Bitch,2,4,6,7,8
1,Basset Hounds,Dog,2,4,6,7,8
1,Basset Hounds,Bitch,2,3,4,5,6
1,Black and Tan Coonhounds,Dog,2,3,4,5,6
1,Black and Tan Coonhounds,Bitch,2,3,4,5,6
1,Bloodhounds,Dog,2,3,4,5,6
1,Bloodhounds,Bitch,2,3,4,5,6
1,Bluetick Coonhounds,Dog,2,3,4,5,6
1,Bluetick Coonhounds,Bitch,2,3,4,5,6
1,Borzois,Dog,2,3,4,5,6
1,Borzois,Bitch,2,3,4,5,6
1,Cirnechi dell’Etna,Dog,2,3,4,5,6
1,Cirnechi dell’Etna,Bitch,2,3,4,5,6
1,Dachshunds (Longhaired),Dog,2,3,4,5,6
1,Dachshunds (Longhaired),Bitch,2,4,5,6,7
1,Dachshunds (Smooth),Dog,2,3,4,5,6
1,Dachshunds (Smooth),Bitch,2,3,4,5,6
1,Dachshunds (Wirehaired),Dog,2,3,4,5,6
1,Dachshunds (Wirehaired),Bitch,2,3,4,5,6
1,English Foxhounds,Dog,2,3,4,5,6
1,English Foxhounds,Bitch,2,3,4,5,6
1,Grand Basset Griffon Vendeens,Dog,2,3,4,5,6
1,Grand Basset Griffon Vendeens,Bitch,2,3,4,5,6
1,Greyhounds,Dog,2,3,4,5,6
1,Greyhounds,Bitch,2,3,4,5,6
1,Harriers,Dog,2,3,4,5,6
1,Harriers,Bitch,2,3,4,5,6
1,Ibizan Hounds,Dog,2,3,4,5,6
1,Ibizan Hounds,Bitch,2,3,4,5,6
1,Irish Wolfhounds,Dog,2,3,4,6,11
1,Irish Wolfhounds,Bitch,2,3,4,8,15
1,Norwegian Elkhounds,Dog,2,3,4,5,6
1,Norwegian Elkhounds,Bitch,2,3,4,5,6
1,Otterhounds,Dog,2,3,4,5,6
1,Otterhounds,Bitch,2,3,4,5,6
1,Petits Bassets Griffons Vendeens,Dog,2,3,4,5,6
1,Petits Bassets Griffons Vendeens,Bitch,2,3,4,5,6
1,Pharaoh Hounds,Dog,2,3,4,5,6
1,Pharaoh Hounds,Bitch,2,3,4,5,6
1,Plott Hounds,Dog,2,3,4,5,6
1,Plott Hounds,Bitch,2,3,4,5,6
1,Portuguese Podengo Pequenos,Dog,2,3,4,5,6
1,Portuguese Podengo Pequenos,Bitch,2,3,4,5,6
1,Redbone Coonhounds,Dog,2,3,4,5,6
1,Redbone Coonhounds,Bitch,2,3,4,5,6
1,Rhodesian Ridgebacks,Dog,2,4,5,6,7
1,Rhodesian Ridgebacks,Bitch,2,5,7,8,10
1,Salukis,Dog,2,3,4,5,8
1,Salukis,Bitch,2,3,4,6,9
1,Scottish Deerhounds,Dog,2,3,4,5,6
1,Scottish Deerhounds,Bitch,2,3,4,5,6
1,Sloughis,Dog,2,3,4,5,6
1,Sloughis,Bitch,2,3,4,5,6
1,Treeing Walker Coonhounds,Dog,2,3,4,5,6
1,Treeing Walker Coonhounds,Bitch,2,3,4,5,6
1,Whippets,Dog,2,4,5,7,12
1,Whippets,Bitch,2,5,7,9,12
1,Akitas,Dog,2,3,4,5,6
1,Akitas,Bitch,2,3,4,5,6
1,Alaskan Malamutes,Dog,2,3,4,5,6
1,Alaskan Malamutes,Bitch,2,3,4,5,6
1,Anatolian Shepherd Dogs,Dog,2,3,4,5,6
1,Anatolian Shepherd Dogs,Bitch,2,3,4,5,6
1,Bernese Mountain Dogs,Dog,2,4,5,6,7
1,Bernese Mountain Dogs,Bitch,2,4,6,10,18
1,Black Russian Terriers,Dog,2,3,4,5,6
1,Black Russian Terriers,Bitch,2,3,4,5,6
1,Boerboels,Dog,2,3,4,5,6
1,Boerboels,Bitch,2,3,4,5,6
1,Boxers,Dog,2,3,4,5,6
1,Boxers,Bitch,2,5,8,10,14
1,Bullmastiffs,Dog,2,3,4,5,6
1,Bullmastiffs,Bitch,2,4,5,6,8
1,Cane Corso,Dog,2,3,4,5,6
1,Cane Corso,Bitch,2,3,4,5,6
1,Chinooks,Dog,2,3,4,5,6
1,Chinooks,Bitch,2,3,4,5,6
1,Danish-Swedish Farmdogs,Dog,2,3,4,5,6
1,Danish-Swedish Farmdogs,Bitch,2,3,4,5,6
1,Doberman Pinschers,Dog,2,4,6,7,9
1,Doberman Pinschers,Bitch,2,6,9,15,25
1,Dogo Argentinos,Dog,2,3,4,5,6
1,Dogo Argentinos,Bitch,2,3,4,5,6
1,Dogues de Bordeaux,Dog,2,3,4,5,6
1,Dogues de Bordeaux,Bitch,2,3,4,5,6
1,German Pinschers,Dog,2,3,4,5,6
1,German Pinschers,Bitch,2,3,4,5,6
1,Giant Schnauzers,Dog,2,3,4,5,6
1,Giant Schnauzers,Bitch,2,3,4,5,6
1,Great Danes,Dog,2,3,4,6,10
1,Great Danes,Bitch,2,5,7,9,14
1,Great Pyrenees,Dog,2,3,4,5,6
1,Great Pyrenees,Bitch,2,3,4,5,6
1,Greater Swiss Mountain Dogs,Dog,2,4,5,6,9
1,Greater Swiss Mountain Dogs,Bitch,2,5,8,9,12
1,Komondorok,Dog,2,3,4,5,6
1,Komondorok,Bitch,2,3,4,5,6
1,Kuvaszok,Dog,2,3,4,5,6
1,Kuvaszok,Bitch,2,3,4,5,6
1,Leonbergers,Dog,2,3,4,5,6
1,Leonbergers,Bitch,2,3,4,5,6
1,Mastiffs,Dog,2,3,4,5,6
1,Mastiffs,Bitch,2,3,4,5,6
1,Neapolitan Mastiffs,Dog,2,3,4,5,6
1,Neapolitan Mastiffs,Bitch,2,3,4,5,6
1,Newfoundlands,Dog,2,3,4,5,8
1,Newfoundlands,Bitch,2,4,6,8,12
1,Portuguese Water Dogs,Dog,2,4,6,7,9
1,Portuguese Water Dogs,Bitch,2,5,7,8,11
1,Rottweilers,Dog,2,3,4,5,8
1,Rottweilers,Bitch,2,3,4,6,9
1,St. Bernards,Dog,2,3,4,5,6
1,St. Bernards,Bitch,2,4,5,6,7
1,Samoyeds,Dog,2,3,4,5,8
1,Samoyeds,Bitch,2,5,7,8,10
1,Siberian Huskies,Dog,2,5,7,9,13
1,Siberian Huskies,Bitch,2,5,7,11,19
1,Standard Schnauzers,Dog,2,3,4,5,6
1,Standard Schnauzers,Bitch,2,3,4,5,6
1,Tibetan Mastiffs,Dog,2,3,4,5,6
1,Tibetan Mastiffs,Bitch,2,3,4,5,6
1,Airedale Terriers,Dog,2,3,4,5,6
1,Airedale Terriers,Bitch,2,3,4,5,6
1,American Hairless Terriers,Dog,2,3,4,5,6
1,American Hairless Terriers,Bitch,2,3,4,5,6
1,American Staffordshire Terriers,Dog,2,3,4,5,6
1,American Staffordshire Terriers,Bitch,2,3,4,5,6
1,Australian Terriers,Dog,2,3,4,5,6
1,Australian Terriers,Bitch,2,3,4,5,6
1,Bedlington Terriers,Dog,2,3,4,5,6
1,Bedlington Terriers,Bitch,2,3,4,5,6
1,Border Terriers,Dog,2,3,4,5,6
1,Border Terriers,Bitch,2,3,4,5,6
1,Bull Terriers (Colored),Dog,2,3,4,5,6
1,Bull Terriers (Colored),Bitch,2,3,4,5,6
1,Bull Terriers (White),Dog,2,3,4,5,6
1,Bull Terriers (White),Bitch,2,3,4,5,6
1,Cairn Terriers,Dog,2,3,4,5,8
1,Cairn Terriers,Bitch,2,4,5,7,10
1,Cesky Terriers,Dog,2,3,4,5,6
1,Cesky Terriers,Bitch,2,3,4,5,6
1,Dandie Dinmont Terriers,Dog,2,3,4,5,6
1,Dandie Dinmont Terriers,Bitch,2,3,4,5,6
1,Fox Terriers (Smooth),Dog,2,3,4,5,6
1,Fox Terriers (Smooth),Bitch,2,3,4,5,6
1,Fox Terriers (Wire),Dog,2,3,4,5,6
1,Fox Terriers (Wire),Bitch,2,3,4,5,6
1,Glen of Imaal Terriers,Dog,2,3,4,5,6
1,Glen of Imaal Terriers,Bitch,2,3,4,5,6
1,Irish Terriers,Dog,2,3,4,5,6
1,Irish Terriers,Bitch,2,3,4,5,6
1,Kerry Blue Terriers,Dog,2,3,4,5,6
1,Kerry Blue Terriers,Bitch,2,3,4,5,6
1,Lakeland Terriers,Dog,2,3,4,5,6
1,Lakeland Terriers,Bitch,2,3,4,5,6
1,Manchester Terriers (Standard),Dog,2,3,4,5,6
1,Manchester Terriers (Standard),Bitch,2,3,4,5,6
1,Miniature Bull Terriers,Dog,2,3,4,5,6
1,Miniature Bull Terriers,Bitch,2,3,4,5,6
1,Miniature Schnauzers,Dog,2,3,4,5,6
1,Miniature Schnauzers,Bitch,2,4,6,7,8
1,Norfolk Terriers,Dog,2,3,4,5,6
1,Norfolk Terriers,Bitch,2,3,4,5,6
1,Norwich Terriers,Dog,2,3,4,5,6
1,Norwich Terriers,Bitch,2,4,5,6,7
1,Parson Russell Terriers,Dog,2,3,4,5,6
1,Parson Russell Terriers,Bitch,2,3,4,5,6
1,Rat Terriers,Dog,2,3,4,5,6
1,Rat Terriers,Bitch,2,3,4,5,6
1,Russell Terriers,Dog,2,3,4,5,6
1,Russell Terriers,Bitch,2,3,4,5,6
1,Scottish Terriers,Dog,2,3,4,5,6
1,Scottish Terriers,Bitch,2,3,4,5,7
1,Sealyham Terriers,Dog,2,3,4,5,6
1,Sealyham Terriers,Bitch,2,3,4,5,6
1,Skye Terriers,Dog,2,3,4,5,6
1,Skye Terriers,Bitch,2,3,4,5,6
1,Soft Coated Wheaten Terriers,Dog,2,3,4,5,6
1,Soft Coated Wheaten Terriers,Bitch,2,3,4,5,6
1,Staffordshire Bull Terriers,Dog,2,3,4,5,6
1,Staffordshire Bull Terriers,Bitch,2,3,4,5,6
1,Welsh Terriers,Dog,2,3,4,5,6
1,Welsh Terriers,Bitch,2,3,4,5,6
1,West Highland White Terriers,Dog,2,3,4,5,6
1,West Highland White Terriers,Bitch,2,3,4,5,6
1,Affenpinschers,Dog,2,3,4,5,6
1,Affenpinschers,Bitch,2,3,4,5,6
1,Biewer Terriers,Dog,2,3,4,5,6
1,Biewer Terriers,Bitch,2,3,4,5,6
1,Brussels Griffons,Dog,2,3,4,5,6
1,Brussels Griffons,Bitch,2,3,4,5,6
1,Cavalier King Charles Spaniels,Dog,2,5,7,9,12
1,Cavalier King Charles Spaniels,Bitch,2,6,9,15,25
1,Chihuahuas (Long Coat),Dog,2,3,4,5,6
1,Chihuahuas (Long Coat),Bitch,2,3,4,5,7
1,Chihuahuas (Smooth Coat),Dog,2,3,4,5,6
1,Chihuahuas (Smooth Coat),Bitch,2,3,4,5,7
1,Chinese Crested,Dog,2,4,5,6,7
1,Chinese Crested,Bitch,2,3,4,5,6
1,English Toy Spaniels (Blenheim & Prince Charles),Dog,2,3,4,5,6
1,English Toy Spaniels (Blenheim & Prince Charles),Bitch,2,3,4,5,6
1,English Toy Spaniels (King Charles & Ruby),Dog,2,3,4,5,6
1,English Toy Spaniels (King Charles & Ruby),Bitch,2,3,4,5,6
1,Havanese,Dog,2,3,4,5,6
1,Havanese,Bitch,2,4,5,6,8
1,Italian Greyhounds,Dog,2,3,4,5,7
1,Italian Greyhounds,Bitch,2,3,4,6,9
1,Japanese Chin,Dog,2,3,4,5,6
1,Japanese Chin,Bitch,2,3,4,5,6
1,Maltese,Dog,2,3,4,5,6
1,Maltese,Bitch,2,3,4,5,6
1,Manchester Terriers (Toy),Dog,2,3,4,5,6
1,Manchester Terriers (Toy),Bitch,2,3,4,5,6
1,Miniature Pinschers,Dog,2,3,4,5,6
1,Miniature Pinschers,Bitch,2,3,4,5,6
1,Papillons,Dog,2,3,4,5,6
1,Papillons,Bitch,2,4,6,7,9
1,Pekingese,Dog,2,3,4,5,6
1,Pekingese,Bitch,2,3,4,5,6
1,Pomeranians,Dog,2,3,4,5,7
1,Pomeranians,Bitch,2,4,6,7,8
1,Poodles (Toy),Dog,2,3,4,5,6
1,Poodles (Toy),Bitch,2,4,5,6,7
1,Pugs,Dog,2,4,6,7,9
1,Pugs,Bitch,2,5,7,8,11
1,Russian Toys,Dog,2,3,4,5,6
1,Russian Toys,Bitch,2,3,4,5,6
1,Shih Tzu,Dog,2,3,4,5,6
1,Shih Tzu,Bitch,2,3,4,5,6
1,Silky Terriers,Dog,2,3,4,5,6
1,Silky Terriers,Bitch,2,3,4,5,6
1,Toy Fox Terriers,Dog,2,3,4,5,6
1,Toy Fox Terriers,Bitch,2,3,4,5,6
1,Yorkshire Terriers,Dog,2,3,4,5,6
1,Yorkshire Terriers,Bitch,2,4,5,6,7
1,American Eskimo Dogs,Dog,2,3,4,5,6
1,American Eskimo Dogs,Bitch,2,3,4,5,6
1,Bichons Frises,Dog,2,3,4,5,6
1,Bichons Frises,Bitch,2,3,4,5,6
1,Boston Terriers,Dog,2,3,4,5,6
1,Boston Terriers,Bitch,2,4,5,7,10
1,Bulldogs,Dog,2,4,5,6,7
1,Bulldogs,Bitch,2,5,7,9,12
1,Chinese Shar-Pei,Dog,2,3,4,5,6
1,Chinese Shar-Pei,Bitch,2,3,4,5,6
1,Chow Chows,Dog,2,3,4,5,6
1,Chow Chows,Bitch,2,3,4,5,6
1,Coton de Tulear,Dog,2,3,4,5,6
1,Coton de Tulear,Bitch,2,3,4,5,6
1,Dalmatians,Dog,2,3,4,5,6
1,Dalmatians,Bitch,2,3,4,5,8
1,Finnish Spitz,Dog,2,3,4,5,6
1,Finnish Spitz,Bitch,2,3,4,5,6
1,French Bulldogs,Dog,2,4,6,7,8
1,French Bulldogs,Bitch,2,6,9,10,12
1,Keeshonden,Dog,2,3,4,5,6
1,Keeshonden,Bitch,2,3,4,5,7
1,Lhasa Apsos,Dog,2,3,4,5,6
1,Lhasa Apsos,Bitch,2,3,4,5,6
1,Lowchen,Dog,2,3,4,5,6
1,Lowchen,Bitch,2,3,4,5,6
1,Norwegian Lundehunds,Dog,2,3,4,5,6
1,Norwegian Lundehunds,Bitch,2,3,4,5,6
1,Poodles (Miniature),Dog,2,3,4,5,6
1,Poodles (Miniature),Bitch,2,3,4,5,6
1,Poodles (Standard),Dog,2,4,5,6,7
1,Poodles (Standard),Bitch,2,6,9,11,14
1,Schipperkes,Dog,2,3,4,5,6
1,Schipperkes,Bitch,2,3,4,5,6
1,Shiba Inu,Dog,2,3,4,5,6
1,Shiba Inu,Bitch,2,3,4,5,6
1,Tibetan Spaniels,Dog,2,3,4,5,6
1,Tibetan Spaniels,Bitch,2,3,4,5,6
1,Tibetan Terriers,Dog,2,3,4,5,6
1,Tibetan Terriers,Bitch,2,3,4,5,6
1,Xoloitzcuintli,Dog,2,3,4,5,6
1,Xoloitzcuintli,Bitch,2,3,4,5,6
1,Australian Cattle Dogs,Dog,2,3,4,5,6
1,Australian Cattle Dogs,Bitch,2,3,4,5,6
1,Australian Shepherds,Dog,2,6,9,10,13
1,Australian Shepherds,Bitch,2,6,9,10,13
1,Bearded Collies,Dog,2,3,4,5,6
1,Bearded Collies,Bitch,2,3,4,5,6
1,Beaucerons,Dog,2,3,4,5,6
1,Beaucerons,Bitch,2,3,4,5,6
2,Belgian Laekenois,Dog,2,3,4,5,6
2,Belgian Laekenois,Bitch,2,3,4,5,6
2,Belgian Malinois,Dog,2,3,4,5,6
2,Belgian Malinois,Bitch,2,3,4,5,6
2,Belgian Sheepdogs,Dog,2,3,4,5,6
2,Belgian Sheepdogs,Bitch,2,3,4,5,6
2,Belgian Tervuren,Dog,2,3,4,5,6
2,Belgian Tervuren,Bitch,2,3,4,5,6
2,Bergamasco Sheepdogs,Dog,2,3,4,5,6
2,Bergamasco Sheepdogs,Bitch,2,3,4,5,6
2,Berger Picards,Dog,2,3,4,5,6
2,Berger Picards,Bitch,2,3,4,5,6
2,Border Collies,Dog,2,3,4,5,7
2,Border Collies,Bitch,2,3,4,5,8
2,Bouviers des Flandres,Dog,2,3,4,5,6
2,Bouviers des Flandres,Bitch,2,3,4,5,6
2,Briards,Dog,2,3,4,5,6
2,Briards,Bitch,2,3,4,5,6
2,Canaan Dogs,Dog,2,3,4,5,6
2,Canaan Dogs,Bitch,2,3,4,5,6
2,Cardigan Welsh Corgis,Dog,2,3,4,5,6
2,Cardigan Welsh Corgis,Bitch,2,3,4,5,6
2,Collies (Rough),Dog,2,6,9,10,12
2,Collies (Rough),Bitch,2,6,9,13,21
2,Collies (Smooth),Dog,2,3,4,5,6
2,Collies (Smooth),Bitch,2,4,6,8,11
2,Entlebucher Mountain Dogs,Dog,2,3,4,5,6
2,Entlebucher Mountain Dogs,Bitch,2,3,4,5,6
2,Finnish Lapphunds,Dog,2,3,4,5,6
2,Finnish Lapphunds,Bitch,2,3,4,5,6
2,German Shepherd Dogs,Dog,2,5,7,8,10
2,German Shepherd Dogs,Bitch,2,5,7,9,12
2,Icelandic Sheepdogs,Dog,2,3,4,5,6
2,Icelandic Sheepdogs,Bitch,2,3,4,5,6
2,Lancashire Heelers,Dog,2,3,4,5,6
2,Lancashire Heelers,Bitch,2,3,4,5,6
2,Miniature American Shepherds,Dog,2,3,4,5,6
2,Miniature American Shepherds,Bitch,2,3,4,5,6
2,Mudik,Dog,2,3,4,5,6
2,Mudik,Bitch,2,3,4,5,6
2,Norwegian Buhunds,Dog,2,3,4,5,6
2,Norwegian Buhunds,Bitch,2,3,4,5,6
2,Old English Sheepdogs,Dog,2,3,4,5,6
2,Old English Sheepdogs,Bitch,2,3,4,5,6
2,Pembroke Welsh Corgis,Dog,2,4,5,9,15
2,Pembroke Welsh Corgis,Bitch,2,3,4,12,28
2,Polish Lowland Sheepdogs,Dog,2,3,4,5,6
2,Polish Lowland Sheepdogs,Bitch,2,3,4,5,6
2,Pulik,Dog,2,3,4,5,6
2,Pulik,Bitch,2,3,4,5,6
2,Pumik,Dog,2,3,4,5,6
2,Pumik,Bitch,2,3,4,5,6
2,Pyrenean Shepherds,Dog,2,3,4,5,6
2,Pyrenean Shepherds,Bitch,2,3,4,5,6
2,Shetland Sheepdogs,Dog,2,6,9,11,14
2,Shetland Sheepdogs,Bitch,2,6,9,13,21
2,Spanish Water Dogs,Dog,2,3,4,5,6
2,Spanish Water Dogs,Bitch,2,3,4,5,6
2,Swedish Vallhunds,Dog,2,3,4,5,6
2,Swedish Vallhunds,Bitch,2,3,4,5,6
2,ALL OTHER BREEDS AND VARIETIES,Dog,2,3,4,5,6
2,ALL OTHER BREEDS AND VARIETIES,Bitch,2,3,4,5,6
2,Barbets,Dog,2,3,4,5,6
2,Barbets,Bitch,2,3,4,5,6
2,Bracchi Italiani,Dog,2,3,4,5,6
2,Bracchi Italiani,Bitch,2,3,4,5,6
2,Brittanys,Dog,2,3,4,5,8
2,Brittanys,Bitch,2,3,4,5,8
2,Lagotti Romagnoli,Dog,2,3,4,5,6
2,Lagotti Romagnoli,Bitch,2,3,4,5,6
2,Nederlandse Kooikerhondjes,Dog,2,3,4,5,6
2,Nederlandse Kooikerhondjes,Bitch,2,3,4,5,6
2,Pointers,Dog,2,3,4,5,6
2,Pointers,Bitch,2,3,4,5,6
2,Pointers (German Shorthaired),Dog,2,4,5,6,9
2,Pointers (German Shorthaired),Bitch,2,4,6,8,13
2,Pointers (German Wirehaired),Dog,2,3,4,5,6
2,Pointers (German Wirehaired),Bitch,2,3,4,5,6
2,Retrievers (Chesapeake Bay),Dog,2,3,4,5,6
2,Retrievers (Chesapeake Bay),Bitch,2,4,6,10,16
2,Retrievers (Curly-Coated),Dog,2,3,4,5,6
2,Retrievers (Curly-Coated),Bitch,2,3,4,5,6
2,Retrievers (Flat-Coated),Dog,2,3,4,5,6
2,Retrievers (Flat-Coated),Bitch,2,3,4,5,6
2,Retrievers (Golden),Dog,2,9,16,21,31
2,Retrievers (Golden),Bitch,2,11,20,28,42
2,Retrievers (Labrador),Dog,2,7,12,22,40
2,Retrievers (Labrador),Bitch,2,9,15,38,82
2,Retrievers (Nova Scotia Duck Tolling),Dog,2,3,4,5,7
2,Retrievers (Nova Scotia Duck Tolling),Bitch,2,4,5,6,9
2,Setters (English),Dog,2,3,4,5,6
2,Setters (English),Bitch,2,3,4,7,12
2,Setters (Gordon),Dog,2,3,4,5,6
2,Setters (Gordon),Bitch,2,3,4,5,6
2,Setters (Irish),Dog,2,4,5,7,10
2,Setters (Irish),Bitch,2,5,7,9,13
2,Setters (Irish Red and White),Dog,2,3,4,5,6
2,Setters (Irish Red and White),Bitch,2,3,4,5,6
2,Spaniels (American Water),Dog,2,3,4,5,6
2,Spaniels (American Water),Bitch,2,3,4,5,6
2,Spaniels (Boykin),Dog,2,3,4,5,6
2,Spaniels (Boykin),Bitch,2,3,4,5,6
2,Spaniels (Clumber),Dog,2,3,4,5,6
2,Spaniels (Clumber),Bitch,2,3,4,5,6
2,Spaniels (Cocker) Black,Dog,2,3,4,5,6
2,Spaniels (Cocker) Black,Bitch,2,3,4,5,8
2,Spaniels (Cocker) ASCOB,Dog,2,3,4,5,6
2,Spaniels (Cocker) ASCOB,Bitch,2,3,4,5,6
2,Spaniels (Cocker) Parti,Dog,2,3,4,5,6
2,Spaniels (Cocker) Parti,Bitch,2,4,5,6,7
2,Spaniels (English Cocker),Dog,2,3,4,5,6
2,Spaniels (English Cocker),Bitch,2,3,4,5,6
2,Spaniels (English Springer),Dog,2,4,5,7,12
2,Spaniels (English Springer),Bitch,2,3,4,9,17
2,Spaniels (Field),Dog,2,3,4,5,6
2,Spaniels (Field),Bitch,2,3,4,5,6
2,Spaniels (Irish Water),Dog,2,3,4,5,6
2,Spaniels (Irish Water),Bitch,2,3,4,5,6
2,Spaniels (Sussex),Dog,2,3,4,5,6
2,Spaniels (Sussex),Bitch,2,3,4,5,6
2,Spaniels (Welsh Springer),Dog,2,3,4,5,6
2,Spaniels (Welsh Springer),Bitch,2,3,4,5,6
2,Spinoni Italiani,Dog,2,3,4,5,6
2,Spinoni Italiani,Bitch,2,3,4,5,6
2,Vizslas,Dog,2,4,6,8,11
2,Vizslas,Bitch,2,6,10,11,13
2,Weimaraners,Dog,2,3,4,5,6
2,Weimaraners,Bitch,2,3,4,5,7
2,Wirehaired Pointing Griffons,Dog,2,3,4,5,6
2,Wirehaired Pointing Griffons,Bitch,2,3,4,5,6
2,Wirehaired Vizslas,Dog,2,3,4,5,6
2,Wirehaired Vizslas,Bitch,2,3,4,5,6
2,Afghan Hounds,Dog,2,3,4,5,6
2,Afghan Hounds,Bitch,2,4,6,7,10
2,American English Coonhounds,Dog,2,3,4,5,6
2,American English Coonhounds,Bitch,2,3,4,5,6
2,American Foxhounds,Dog,2,3,4,5,6
2,American Foxhounds,Bitch,2,3,4,5,6
2,Azawakhs,Dog,2,3,4,5,6
2,Azawakhs,Bitch,2,3,4,5,6
2,Basenjis,Dog,2,3,4,5,6
2,Basenjis,Bitch,2,4,5,7,10
2,Basset Hounds,Dog,2,4,5,6,7
2,Basset Hounds,Bitch,2,4,5,6,8
2,Black and Tan Coonhounds,Dog,2,3,4,5,6
2,Black and Tan Coonhounds,Bitch,2,3,4,5,6
2,Bloodhounds,Dog,2,3,4,5,7
2,Bloodhounds,Bitch,2,3,4,5,7
2,Bluetick Coonhounds,Dog,2,3,4,5,6
2,Bluetick Coonhounds,Bitch,2,3,4,5,6
2,Borzois,Dog,2,3,4,5,7
2,Borzois,Bitch,2,3,4,6,9
2,Cirnechi dell’Etna,Dog,2,3,4,5,6
2,Cirnechi dell’Etna,Bitch,2,3,4,5,6
2,Dachshunds (Longhaired),Dog,2,3,4,5,7
2,Dachshunds (Longhaired),Bitch,2,5,7,10,16
2,Dachshunds (Smooth),Dog,2,3,4,5,6
